##ANSYS Fluent 24.1.0
##
##Generated on: 13:21:59, 23 Sep 2024
##
##Generated from case: FLTG.2-30.cas.h5
##

[Name]
bottom

[Data]
x,y,z,z-velocity
-0.0052370154,0.0031055794,-0.074906394,0.0017941423
-0.0056751845,0.0028758687,-0.074906394,0.0036995662
-0.005594587,0.0038783976,-0.074906394,0
-0.0052794991,0.0031970805,-0.074906394,0.00073147897
-0.0061221104,0.0026628398,-0.074906394,0.00033450351
-0.0057145711,0.0029720976,-0.074906394,0.0025341825
-0.0055584856,0.003783568,-0.074906394,0
-0.006064977,0.0037020606,-0.074906394,0
-0.0053303009,0.0033065362,-0.074906394,0
-0.0065801963,0.0024743695,-0.074906394,0.00051822065
-0.0061562317,0.0027611041,-0.074906394,0.00024099719
-0.005761615,0.0030871034,-0.074906394,0.0013483448
-0.0055148834,0.0036690743,-0.074906394,0
-0.0060333302,0.0036030002,-0.074906394,0
-0.0065448801,0.0035534156,-0.074906394,0
-0.0053296783,0.0034473042,-0.074906394,0
-0.0055013048,0.00351839,-0.074906394,0
-0.0070505543,0.0023178104,-0.074906394,0.0014939493
-0.006608326,0.0025745358,-0.074906394,1.6740323e-05
-0.0061969468,0.0028784557,-0.074906394,0.00014919614
-0.0057914453,0.0032454294,-0.074906394,9.3423827e-05
-0.0059950911,0.0034833467,-0.074906394,0
-0.0065191831,0.0034526442,-0.074906394,0
-0.0070329513,0.0034346282,-0.074906394,0
-0.0075326553,0.0022006137,-0.074906394,0.0048871026
-0.0059765568,0.0033233869,-0.074906394,0
-0.0070721111,0.0024196007,-0.074906394,0.00047507172
-0.0066418606,0.0026940836,-0.074906394,-0.00034518738
-0.0062351222,0.0030473913,-0.074906394,6.4662563e-05
-0.0064881206,0.0033308805,-0.074906394,0
-0.007013604,0.0033324279,-0.074906394,0
-0.007527845,0.0033495955,-0.074906394,-0.00020274623
-0.0080236178,0.0021292772,-0.074906394,0.010532717
-0.0075472076,0.0023036085,-0.074906394,0.0031770968
-0.0064615882,0.003155255,-0.074906394,-2.1100248e-05
-0.0070977937,0.0025410282,-0.074906394,-0.00081934029
-0.0066884919,0.0028770338,-0.074906394,-0.00027340307
-0.0069902083,0.0032088982,-0.074906394,-0.00012285964
-0.0075152484,0.0032463237,-0.074906394,-0.00027584127
-0.0080275349,0.0033019362,-0.074906394,-0.00086487242
-0.0085190115,0.0021082768,-0.074906394,0.01620255
-0.0080306632,0.0022329704,-0.074906394,0.0080191335
-0.0075645386,0.0024264269,-0.074906394,0.0010687144
-0.0069564767,0.0030152951,-0.074906394,-0.000553797
-0.00715139,0.0027400195,-0.074906394,-0.0018032913
-0.0075000119,0.0031214617,-0.074906394,-0.00079600757
-0.00802196,0.0031980434,-0.074906394,-0.0010591096
-0.0085295392,0.0032924432,-0.074906394,-0.0019535886
-0.0090140253,0.0021387367,-0.074906394,0.017072678
-0.0085180905,0.0022121056,-0.074906394,0.013234993
-0.0080390554,0.0023565795,-0.074906394,0.0050082309
-0.0076227696,0.0026424329,-0.074906394,-0.0028359222
-0.007460942,0.0029089213,-0.074906394,-0.0016782851
-0.0095042223,0.0022177368,-0.074906394,0.012637693
-0.0080152173,0.0030724062,-0.074906394,-0.0013550101
-0.0085310303,0.0031884308,-0.074906394,-0.0017317617
-0.0090313572,0.0033191754,-0.074906394,-0.0022510197
-0.0090051889,0.0022421319,-0.074906394,0.014173997
-0.0085170036,0.0023358609,-0.074906394,0.009697549
-0.0080563193,0.0025585117,-0.074906394,8.1079364e-05
-0.0079779886,0.00283708,-0.074906394,-0.0020663159
-0.0099859582,0.0023396777,-0.074906394,0.0063767163
-0.0094880713,0.0023202274,-0.074906394,0.0099661509
-0.008532837,0.0030626373,-0.074906394,-0.0011208722
-0.009039904,0.0032155197,-0.074906394,-0.0021138808
-0.0095304754,0.0033803014,-0.074906394,-0.00087372417
-0.008994679,0.0023654026,-0.074906394,0.010714188
